"nodeId","id","firstName","lastName","email","carMake","carModel","vinNumber","manufacturedDate","ageOfVehicle"
"WyJ2ZWhpY2xlcyIsIjJmMTc2NDE3LWVlZGItNGIwMC05NzA5LWJmM2IxYjVkYWI4MSJd","2f176417-eedb-4b00-9709-bf3b1b5dab81","Miran","Gaynes","Changsha","Audi","200","KMHHU6KJ9FU473800","1982-03-27T00:00:00","39.04287414383562"
"WyJ2ZWhpY2xlcyIsIjMyMWQwMjk0LWUxMmEtNGE2Yy1hMzU2LWFkNmNjMzI0N2I5OCJd","321d0294-e12a-4a6c-a356-ad6cc3247b98","Jerrine","Reah","Royan","Toyota","MR2","WAUEFAFL1BN798233","1981-12-14T00:00:00","39.32506579781837"
"WyJ2ZWhpY2xlcyIsIjM2OTI5NDIwLWFiYjgtNDkyYy04ZjZkLTMxNDkwMjJiMjY2YSJd","36929420-abb8-492c-8f6d-3149022b266a","Diann","Brammar","Kastsyukovichy","Hyundai","Elantra","WAULC68EX5A364982","1982-02-25T00:00:00","39.125065924657534"
"WyJ2ZWhpY2xlcyIsIjNhMzIyZjZlLTg5YzgtNDk0Mi04MjBiLTIxOTMwZTUyMWE4NyJd","3a322f6e-89c8-4942-820b-21930e521a87","Kenton","Thomazin","Kryvichy","Cadillac","STS","JN1CV6EK6FM823953","1982-04-07T00:00:00","39.012737062404874"
"WyJ2ZWhpY2xlcyIsIjNhODMzNzJjLWQ1YWYtNGQ4NC1iZWM3LWY2ODZhYWQxYzU1NSJd","3a83372c-d5af-4d84-bec7-f686aad1c555","Sheree","Mayoh","Izingolweni","Chevrolet","Corvette","WAUFFBFL9CA136225","1981-12-13T00:00:00","39.32780561897514"
"WyJ2ZWhpY2xlcyIsIjNkNjgwNTJjLWVlNGYtNDMxYS1hNzE1LTQxNDBhNTRhNTI0YiJd","3d68052c-ee4f-431a-a715-4140a54a524b","Charla","Trevorrow","Palmas","BMW","530","19XFB2E2XCE912897","1981-10-09T00:00:00","39.50588790588534"
"WyJ2ZWhpY2xlcyIsIjQxMTUzODE5LWFkZGMtNDgzYS04NGNhLTg4MmEwMWE2NzdkMiJd","41153819-addc-483a-84ca-882a01a677d2","Jeremie","Story","Havirga","Honda","CR-V","4USBT33584L434626","1982-01-15T00:00:00","39.23739466007103"
"WyJ2ZWhpY2xlcyIsIjQ2ODc1YWVlLTRjNzktNDBkNC1iODM1LWJjZmNiNDIwMDk0MiJd","46875aee-4c79-40d4-b835-bcfcb4200942","Zed","Belt","Baoxing","Honda","S2000","WAU4FBFL3AA651838","1982-01-27T00:00:00","39.20451794774226"
"WyJ2ZWhpY2xlcyIsIjQ3ZGFmYTgyLTYyNjEtNGEyNi04MGZiLTNjMWJlYjllY2UyNCJd","47dafa82-6261-4a26-80fb-3c1beb9ece24","Letisha","Sumpner","Tafeng","Scion","xB","WBA3A9C58EF471448","1981-09-18T00:00:00","39.56342215246068"
"WyJ2ZWhpY2xlcyIsIjQ4NWJjN2MxLTEzMWYtNGRiMS1hZDhjLWQ2YTViMmIyNjA5ZSJd","485bc7c1-131f-4db1-ad8c-d6a5b2b2609e","Kath","Janku","Imotski","Toyota","Corolla","KMHDB8AE5CU117179","1981-10-15T00:00:00","39.4894493594622"
"WyJ2ZWhpY2xlcyIsIjQ5NDUwOThlLWJhMmYtNGYyMS1iYjBhLTM3MmJkMjRjOTZlZCJd","4945098e-ba2f-4f21-bb0a-372bd24c96ed","Lissa","Jadczak","Uchkeken","Mercury","Grand Marquis","WBAYA8C54FG468445","1982-01-19T00:00:00","39.22643572425165"
"WyJ2ZWhpY2xlcyIsIjRhZDhlNzlkLWJmYmItNDllMS04ZDI1LTEyNDQ2YWRiNGE3YiJd","4ad8e79d-bfbb-49e1-8d25-12446adb4a7b","Ortensia","Paulillo","Kudowa-Zdrój","Subaru","Alcyone SVX","JH4DC53075S206542","1982-03-12T00:00:00","39.08397000253678"
"WyJ2ZWhpY2xlcyIsIjRiMDZiMTQ5LWRkNGItNDdhZS04OTMzLTUzZWI2ZDY2ZjkwMiJd","4b06b149-dd4b-47ae-8933-53eb6d66f902","Tanney","Havick","San Isidro","Mercedes-Benz","SL-Class","WBAPL33599A072561","1982-02-19T00:00:00","39.141504249112124"
"WyJ2ZWhpY2xlcyIsIjRjODM0M2U3LTU4N2QtNDYzMi1hYTE3LTljNjQwNGNjNTg2OSJd","4c8343e7-587d-4632-aa17-9c6404cc5869","Dyann","Wadforth","Yongyang","Plymouth","Grand Voyager","1G6DF5EY1B0757975","1981-08-22T00:00:00","39.63739466007103"
"WyJ2ZWhpY2xlcyIsIjRkZTA4MWRmLTU3ZWEtNDc1YS1iZWM5LTU0ZGVhZGQ0MGZlOCJd","4de081df-57ea-475a-bec9-54deadd40fe8","Timotheus","Rapsey","Boston","Nissan","Pathfinder Armada","5N1BA0NC7FN344490","1982-01-06T00:00:00","39.26205209918823"
"WyJ2ZWhpY2xlcyIsIjRmNDdjMzY4LWE3ZDktNDY3My04NDVkLTVhZjYwM2VhMjVlOCJd","4f47c368-a7d9-4673-845d-5af603ea25e8","Audie","Mowling","Tuochuan","BMW","M5","SCBBB7ZH1FC359341","1982-03-16T00:00:00","39.07301100329782"
"WyJ2ZWhpY2xlcyIsIjU4NDRiY2Y4LWM1YzEtNDg1Zi1iYWNiLTY0NDZmYmE0N2VjOSJd","5844bcf8-c5c1-485f-bacb-6446fba47ec9","Clare","Penniall","Digne-les-Bains","Subaru","Tribeca","SCBFC7ZA0DC522754","1981-12-30T00:00:00","39.28123030821918"
"WyJ2ZWhpY2xlcyIsIjVjMWM5NjcxLWQ1M2MtNDM0NC1iNTkzLWMwZDVmMjkyYTE4YiJd","5c1c9671-d53c-4344-b593-c0d5f292a18b","Helyn","Beardsley","Palaihari","BMW","8 Series","WAUAH74F36N884562","1981-08-16T00:00:00","39.65383298452562"
"WyJ2ZWhpY2xlcyIsIjVkM2M1MjRhLWZkMzUtNDM5NS05YzE1LWEyYjgzN2NjNmNmOSJd","5d3c524a-fd35-4395-9c15-a2b837cc6cf9","Lesli","Geary","Rozwadza","Audi","TT","SCBLE37G73C151586","1982-04-08T00:00:00","39.009997336377474"
"WyJ2ZWhpY2xlcyIsIjVkZDE0ZTM5LWQ1NWEtNDJlYy05YThjLTI3YjNjZDA2NDMwOCJd","5dd14e39-d55a-42ec-9a8c-27b3cd064308","Kelsey","Leslie","Luna","Hyundai","Elantra","5UXFE83577L852435","1982-02-17T00:00:00","39.14698370116692"
"WyJ2ZWhpY2xlcyIsIjYwN2NhZTljLWEzNzMtNDQ4Zi1iMjlmLTEyZGIzYWM3OTZiMiJd","607cae9c-a373-448f-b29f-12db3ac796b2","Nollie","Reeve","Arras","Volvo","V50","5N1AN0NW1FN344222","1982-01-03T00:00:00","39.27027143581938"
"WyJ2ZWhpY2xlcyIsIjY1ZjUxYTFmLThiODItNGUzNS1hZDBiLTFmNWNkNDA4OWJiYyJd","65f51a1f-8b82-4e35-ad0b-1f5cd4089bbc","Shelli","Christmas","Niort","Volkswagen","Scirocco","1N6AD0CU9AC935506","1982-04-11T00:00:00","39.001778221714865"
"WyJ2ZWhpY2xlcyIsIjZlZWE4NzhlLWU2ODAtNDdlMy1iYTU5LTE0ODY2NzBkZTY5NiJd","6eea878e-e680-47e3-ba59-1486670de696","Anthe","Tures","Sassandra","Suzuki","SJ","1GYS3AKJ6FR907135","1981-11-10T00:00:00","39.418216546169454"
"WyJ2ZWhpY2xlcyIsIjZmNzhkYTk4LTUzZjQtNGUxYi1iZThhLTdmNzFkNGE3YTJkNSJd","6f78da98-53f4-4e1b-be8a-7f71d4a7a2d5","Levin","Ferronel","Croix","Volkswagen","New Beetle","WBXPC93429W605269","1981-11-11T00:00:00","39.415476915271434"
"WyJ2ZWhpY2xlcyIsIjcwMjQwMzNjLTNkODktNDkwNi1iMzUyLWEyY2M1NTg1YmJkMiJd","7024033c-3d89-4906-b352-a2cc5585bbd2","Ranique","Denness","Wawu","Nissan","Leaf","WAUUL68E55A628324","1982-03-26T00:00:00","39.04561374302384"
"WyJ2ZWhpY2xlcyIsIjcxNTUxY2E5LWIxNTYtNDg1YS04ZmE1LWVlY2I3Mzg2NzFjOCJd","71551ca9-b156-485a-8fa5-eecb738671c8","Garwin","Weatherhogg","Al ‘Anān","Ford","F350","JH4CU2F47DC163416","1982-03-09T00:00:00","39.092189148909185"
"WyJ2ZWhpY2xlcyIsIjc1Y2VlM2E3LTZiZTQtNGI5Mi05OGY4LTczOTFlYTMyOWQ0NSJd","75cee3a7-6be4-4b92-98f8-7391ea329d45","Robin","Cumbers","Hövsan","Maserati","Quattroporte","KNAGN4AD7F5789619","1982-04-11T00:00:00","39.00177825342466"
"WyJ2ZWhpY2xlcyIsIjc2ZThjOTAxLWVjODctNDViYS04YjMyLTE4MWRjMzU4ZTBjNCJd","76e8c901-ec87-45ba-8b32-181dc358e0c4","Jeanette","Crake","Otlja","Ford","F350","WBABS53473J780184","1981-10-13T00:00:00","39.49492884322679"
"WyJ2ZWhpY2xlcyIsIjdmZGIxMmY0LWFjNzQtNDllYy1iNjEzLThlMmM5NzQ3YjU4ZCJd","7fdb12f4-ac74-49ec-b613-8e2c9747b58d","Hilton","Goulborne","Bằng Lũng","Dodge","Viper","3C3CFFER0CT601250","1982-01-15T00:00:00","39.23739462836124"
"WyJ2ZWhpY2xlcyIsIjgwNmNhZDQzLTI0NzYtNDU5ZS1hZTE4LTgxZTc1ZDA0OWRkNiJd","806cad43-2476-459e-ae18-81e75d049dd6","Osborne","Lockhurst","Paratunka","Mercedes-Benz","S-Class","WAUWFAFL0AA171789","1981-11-30T00:00:00","39.363422089041094"
"WyJ2ZWhpY2xlcyIsIjhjM2M5MzIwLTM4YmQtNGIxMi04YWUyLTU0MWU5ODZlYmFiZCJd","8c3c9320-38bd-4b12-8ae2-541e986ebabd","Wilhelmine","Waterfield","Świebodzice","Jeep","Grand Cherokee","2HNYD18956H063075","1981-09-11T00:00:00","39.58260013952309"
"WyJ2ZWhpY2xlcyIsIjhkYTk5ZjkyLTA1NDItNGU2Mi05MDA1LTg4MjM3MDZjYzExMSJd","8da99f92-0542-4e62-9005-8823706cc111","Sibby","Franceschi","Umm Kaddadah","Chrysler","300","19UYA42611A595916","1981-08-26T00:00:00","39.62643572425165"
"WyJ2ZWhpY2xlcyIsIjhlYjZhNzQwLTNkYTMtNDIyYy04YTI5LTE0Mjk4YzAxNGRjZCJd","8eb6a740-3da3-422c-8a29-14298c014dcd","Spense","Brandsma","Hanjia","GMC","2500","JH4CW2H53CC957036","1981-08-25T00:00:00","39.62917545027905"
"WyJ2ZWhpY2xlcyIsIjkzYjc3MmIwLTUxMzktNDMzOC04MDJkLTc3YjVjNTQ3ZmY1NyJd","93b772b0-5139-4338-802d-77b5c547ff57","Juditha","Tedman","Porsgrunn","Dodge","Avenger","1FTMF1CW6AF236654","1981-12-05T00:00:00","39.349723395484524"
"WyJ2ZWhpY2xlcyIsIjk0YzdjMTU2LWQ4ZjEtNGZlMS04NWMxLTQ5ZmYxODdhMzAzOCJd","94c7c156-d8f1-4fe1-85c1-49ff187a3038","Shay","Jewis","Moussoro","Ford","E-Series","1FTWX3A54AE989763","1982-02-18T00:00:00","39.144243975139524"
"WyJ2ZWhpY2xlcyIsIjljODZlOTk5LTI4YzItNGRlOS1hMzRhLTg2OThlMjgzN2NhMyJd","9c86e999-28c2-4de9-a34a-8698e2837ca3","Revkah","Stanway","Casal Velho","Daewoo","Leganza","4T1BD1FK5FU304966","1982-03-06T00:00:00","39.10040839041096"
"WyJ2ZWhpY2xlcyIsImExNjRlMTFmLWMxMzQtNDg0Yi1hZjc5LTdhMDhhOTlhYzA0MSJd","a164e11f-c134-484b-af79-7a08a99ac041","Eloise","Mompesson","Pokrzywnica","Mercury","Marquis","SCFEDCAD7CG535756","1981-10-24T00:00:00","39.464791856925416"
"WyJ2ZWhpY2xlcyIsImE1MTY4ZTU3LTQwOTMtNGJkMi1iMmIwLTU3NGQzOTE2Nzg3OSJd","a5168e57-4093-4bd2-b2b0-574d39167879","Alana","Bodicum","Thành Phố Ninh Bình","Land Rover","Freelander","3FA6P0SU5DR944653","1982-01-31T00:00:00","39.193558948503295"
"WyJ2ZWhpY2xlcyIsImE1NjM5NWI0LWVmODYtNDExYi1iOWFmLTE2ZGQ0ZDYyZTc3NSJd","a56395b4-ef86-411b-b9af-16dd4d62e775","Geoff","Le Marchant","Jabon","Volkswagen","Passat","1G6KD57907U097110","1981-11-03T00:00:00","39.437394596651444"
"WyJ2ZWhpY2xlcyIsImE2ZDU3ODRkLTBkYTgtNDQ2Zi04NTc0LTcxNDkwOTFjOWQ5MCJd","a6d5784d-0da8-446f-8574-7149091c9d90","Dacie","Warman","Tenkodogo","Mercedes-Benz","SL-Class","KL4CJHSB9FB936990","1981-08-22T00:00:00","39.637394755200404"
"WyJ2ZWhpY2xlcyIsImFhNGI0ZjcxLTU4OGMtNDY1MS05NmE0LWUyM2M5MTBlZGExYyJd","aa4b4f71-588c-4651-96a4-e23c910eda1c","Billye","Peterffy","Bosobolo","Volkswagen","Fox","WBXPC9C47AW064398","1981-10-15T00:00:00","39.48944948630137"
"WyJ2ZWhpY2xlcyIsImFiOWUwZDM0LWZmYjMtNDk3Yy1iNzI5LTAzMjAxYmM5Y2YzYSJd","ab9e0d34-ffb3-497c-b729-03201bc9cf3a","Garek","Pirt","Huaylillas","Mercedes-Benz","G-Class","KL4CJGSB4FB644707","1981-11-18T00:00:00","39.3962986745307"
"WyJ2ZWhpY2xlcyIsImFkNDk4OGJlLTgxMWItNGJhYi05ZGM3LTM5MTY1MTQ4N2QxMCJd","ad4988be-811b-4bab-9dc7-391651487d10","Linoel","Windross","Fredrikstad","Toyota","RAV4","WAUGL98E48A903412","1982-01-13T00:00:00","39.24287404870624"
"WyJ2ZWhpY2xlcyIsImFmNGU5MzJhLWJkOGEtNGU2MC04NjdiLTQxZTM4MTgzYjQ0MyJd","af4e932a-bd8a-4e60-867b-41e38183b443","Deanna","Mannooch","Naranjal","Suzuki","Swift","WAUPEAFM3BA968331","1982-03-18T00:00:00","39.0675316463724"
"WyJ2ZWhpY2xlcyIsImIxNjM2ZThmLTM5NGEtNDcwYy1iNjExLTRhZDk3MzlmYmU1MCJd","b1636e8f-394a-470c-b611-4ad9739fbe50","Nestor","Larmuth","Budapest","Mercury","Villager","WUADUAFG3CN675741","1982-02-16T00:00:00","39.14972339548453"
"WyJ2ZWhpY2xlcyIsImI0OTQ5OTFkLTFmYTgtNDc3MC1hMzQ0LWYwMTljMTQ4YjcxMiJd","b494991d-1fa8-4770-a344-f019c148b712","Carissa","Emeline","Cipolletti","Porsche","928","WBAEA535X9C078690","1981-09-08T00:00:00","39.590819285895485"
"WyJ2ZWhpY2xlcyIsImI1ZDU4MjRkLWYwMTUtNGRhOC1hOTQxLTA5N2YxYmMyMzdkNCJd","b5d5824d-f015-4da8-a941-097f1bc237d4","Alfredo","Goldson","Arbois","Land Rover","Defender","1G6DG5E57C0473206","1981-08-24T00:00:00","39.63191523972603"
"WyJ2ZWhpY2xlcyIsImI3NzFhYzY4LWY3M2ItNGY4Ni1hYzAwLTRhYzM2ZGU5M2QzYyJd","b771ac68-f73b-4f86-ac00-4ac36de93d3c","Frasquito","Robarts","Nicosia","Ferrari","612 Scaglietti","WBABV13425J041890","1981-09-19T00:00:00","39.56068233130391"
"WyJ2ZWhpY2xlcyIsImJjOGJhOGQyLTI2YWQtNGIwMC05NTViLWU4ZDQ1YzIxMGI0ZCJd","bc8ba8d2-26ad-4b00-955b-e8d45c210b4d","Garold","Heliot","Loivos","BMW","5 Series","1GD11ZCG8BF402178","1981-11-07T00:00:00","39.42643569254186"
"WyJ2ZWhpY2xlcyIsImJmMzM5NWNmLWU1ZGItNGI4Yi1hN2IzLTFiOGFhOWY3YmVmNiJd","bf3395cf-e5db-4b8b-a7b3-1b8aa9f7bef6","Josiah","Rabl","Dananyu","GMC","Vandura 2500","WBAFB334X1L553529","1981-12-06T00:00:00","39.346983764586504"
"WyJ2ZWhpY2xlcyIsImMwYmJkYjg5LWM2MTUtNGNhYy05Y2I3LWFhNzZjNzJjN2EyNiJd","c0bbdb89-c615-4cac-9cb7-aa76c72c7a26","Wallie","Elgee","Lazaro Cardenas","Land Rover","Range Rover Evoque","JA32U1FU1CU811556","1981-08-19T00:00:00","39.64561377473364"
"WyJ2ZWhpY2xlcyIsImM5NmZiMTU1LTE2NzEtNDA0Yi05YTBhLTk0YzEzYjM5MGQ4MSJd","c96fb155-1671-404b-9a0a-94c13b390d81","Edward","Curley","Ngã Bảy","Mazda","B-Series Plus","WBAPH57519N942691","1982-02-08T00:00:00","39.1716412037037"
"WyJ2ZWhpY2xlcyIsImNjYTk4MzcyLTkwYzQtNDI4Yy1hN2UzLTZjNGQ0MmRlZDI2NCJd","cca98372-90c4-428c-a7e3-6c4d42ded264","Dawn","Heinemann","Canggetelo","Honda","Prelude","WAUAFAFC9CN912737","1982-04-01T00:00:00","39.02917548198884"
"WyJ2ZWhpY2xlcyIsImNkZTEyOTMyLWQzZmYtNDA4ZS1iMzU2LWZjYjA3NTMwZDk5OCJd","cde12932-d3ff-408e-b356-fcb07530d998","Hansiain","Delve","Szydłowo","Chevrolet","Corvette","YV1622FS9C2000204","1981-09-06T00:00:00","39.59629876966007"
"WyJ2ZWhpY2xlcyIsImNlZjU4YjU0LTNjM2UtNGJkNC05ZjNiLWRjMmY1YmM0NDIzZiJd","cef58b54-3c3e-4bd4-9f3b-dc2f5bc4423f","Norene","Geraldez","Stockholm","Dodge","Ram Van 3500","SCFBF04B78G636020","1982-04-03T00:00:00","39.02369593480467"
"WyJ2ZWhpY2xlcyIsImQ0Y2I4NGJlLTVlYjEtNGE0NC1hZDI4LWU3MzhhYzhmY2YxNyJd","d4cb84be-5eb1-4a44-ad28-e738ac8fcf17","Jobina","Hubbock","Wangda","Dodge","Caliber","WAUAFAFL3AA645194","1981-11-10T00:00:00","39.418216514459665"
"WyJ2ZWhpY2xlcyIsImQ2MTUwYTQwLTYxNTMtNDZjZS1hMTA1LTdhNGU0NDExMzU3MCJd","d6150a40-6153-46ce-a105-7a4e44113570","Nealson","Gladman","Benito Juarez","MINI","Cooper Clubman","WP1AA2AP4AL781335","1982-03-20T00:00:00","39.06205219431761"
"WyJ2ZWhpY2xlcyIsImQ3MmE2MTc2LWMwY2EtNDZmZi04NDIyLTY4ZTFjMTdmMmUyNiJd","d72a6176-c0ca-46ff-8422-68e1c17f2e26","Kacie","Seal","Zyryanovsk","Audi","90","5N1CR2MM8EC550110","1981-10-31T00:00:00","39.44561386986302"
"WyJ2ZWhpY2xlcyIsImQ3MzUxNTZiLTI1ZjctNDFkNy04ZjZmLThjYmQxN2U4YTM5NCJd","d735156b-25f7-41d7-8f6f-8cbd17e8a394","Kalinda","Rumble","Cavadas","Ford","Escort","KMHFG4JG1FA889334","1981-12-11T00:00:00","39.33328516615931"
"WyJ2ZWhpY2xlcyIsImRjMzNkZTBmLTU3YTctNDQyOS1iZTA3LWQ1NWU4MmE0ODdiNiJd","dc33de0f-57a7-4429-be07-d55e82a487b6","Derwin","Calbaithe","Koumac","Subaru","Outback","WAUML44D42N483492","1982-01-13T00:00:00","39.24287404870624"
"WyJ2ZWhpY2xlcyIsImUxYTViZGE4LTkzZWQtNGVmOC1iNDBlLWVlZTY2ZTM4NjEzOCJd","e1a5bda8-93ed-4ef8-b40e-eee66e386138","Imelda","Quarton","Yuanda","Audi","A6","1HGCP2E34BA033430","1982-04-10T00:00:00","39.00451801116185"
"WyJ2ZWhpY2xlcyIsImU2ZGNmZjIwLWNkYzMtNGU4Mi04YmRjLTZhYzRjODdiN2YwOCJd","e6dcff20-cdc3-4e82-8bdc-6ac4c87b7f08","Leroi","Beecraft","Starokucherganovka","Mitsubishi","Montero","2G4WF551721144509","1981-12-31T00:00:00","39.278490518772195"
"WyJ2ZWhpY2xlcyIsImVkZmJjMGNkLWQwMTAtNGI0ZC1hNGZmLTU4OGRkZmY4NjRiOCJd","edfbc0cd-d010-4b4d-a4ff-588ddff864b8","Milty","Brouwer","Orós","Maybach","57","5UXFG2C53E0454158","1982-01-14T00:00:00","39.24013435438864"
"WyJ2ZWhpY2xlcyIsImYxZjc1NmQ2LTZkMmUtNDk3Ni04NjE0LThmNTJmODM3NDhhNCJd","f1f756d6-6d2e-4976-8614-8f52f83748a4","Dolores","Vonasek","Terangun","Volkswagen","Jetta","WA1VMAFE2BD907681","1981-12-27T00:00:00","39.28944939117199"
"WyJ2ZWhpY2xlcyIsImY1MjgxYWQ5LWE3ODgtNGU2ZS05NTMwLWIxYzU2NzgyNjc1MSJd","f5281ad9-a788-4e6e-9530-b1c567826751","Cesya","Sire","Dadiharja","Suzuki","Grand Vitara","1D7RV1CP6AS666234","1981-12-03T00:00:00","39.35520284753932"
"WyJ2ZWhpY2xlcyIsImY5MWUxN2Y3LTA4NGEtNDVmMy1iM2ZlLTUxZjkxYTA4OTZhZSJd","f91e17f7-084a-45f3-b3fe-51f91a0896ae","Huntlee","Boulden","Suisan","Pontiac","Firebird","5BZBF0AA8EN135834","1981-10-06T00:00:00","39.51410702054795"
"WyJ2ZWhpY2xlcyIsImZhMDE5NzBiLTgyMTktNGQ4NS04ZDRmLTJkMmM3YmZkMzY2ZSJd","fa01970b-8219-4d85-8d4f-2d2c7bfd366e","Denney","Stanton","Murça","Mazda","MPV","WBAYF4C56DD058979","1981-09-07T00:00:00","39.5935589485033"
